Rating,Grade,Score,Economy,Family,Health,Freedom,Trust,Generosity,Residual
good,A,6.578000069,0.29283,1.21086216,0.709978998,0.412730008,0.120990433,0.047049087,2.837154865
good,A,6.574,0.305444717,1.24823,0.78723,0.44974,0.08484,0.04707,2.836
good,A,7.501,0.305808693,1.18326,0.86733,0.56624,0.14975,0.048761073,2.83137
good,A,4.156,0.31292,0.147,0.29364,0.4143,0.07564,0.04959,2.82859
good,A,7.413,0.31982,1.13464,0.81091,0.57104,0.41004,0.051306631,2.82596
good,A,5.992,0.31995,0.89521,0.65213,0.46582,0.16292,0.053581882,2.82428
good,A,5.89,0.32846,0.97841,0.5392,0.57414,0.088,0.05444,2.82334
good,A,5.401,0.33024,0.66062,0.54,0.14396,0.06547,0.055267781,2.80998
good,A,4.292,0.339233845,0.41134,0.22562,0.43054,0.06977,0.05547,2.80791
good,A,5.837999821,0.34097,1.251825571,0.589465201,0.240729049,0.208779126,0.0564,2.807808399
good,A,7.212999821,0.34112,1.376289964,0.838404,0.405988604,0.330082655,0.056565076,2.801757336
good,A,4.898,0.34193,1.04103,0.07612,0.31767,0.12504,0.056767423,2.79832
good,A,5.269000053,0.34719,0.67269069,0.402047783,0.235215262,0.315446019,0.057069719,2.79248929
good,A,6.269,0.350227714,0.972,0.6082,0.59657,0.13633,0.057471618,2.79094
good,A,4.571,0.35041,0.78968,0.34201,0.28531,0.06232,0.05841,2.77729
good,A,5.976,0.35997,0.85974,0.68613,0.4027,0.18037,0.059307806,2.77366
good,A,6.635000229,0.36471,1.431306005,0.616552353,0.437453747,0.162349895,0.059739888,2.769267082
good,A,5.589,0.36485,0.81198,0.63132,0.24749,0.04741,0.060241356,2.76579
good,A,5.759,0.36498,0.79624,0.78805,0.25883,0.0243,0.060277794,2.75414
good,A,4.272,0.36711055,0.80676,0.188,0.15602,0.06075,0.060477726,2.74924
good,A,6.123,0.368420929,1.04356,0.64425,0.57733,0.09472,0.060929015,2.74255
good,A,7.526,0.368610263,1.16374,0.79504,0.57941,0.44453,0.06115783,2.73939
good,A,5.743,0.368745893,0.81255,0.62994,0.37502,0.05292,0.06244,2.73117
good,A,7.104,0.37545,1.04782,0.779,0.48163,0.14868,0.063282669,2.72782
good,A,3.678,0.375846535,NA,0.06699,0.48879,0.08289,0.063829236,2.7223
good,A,6.002999783,0.381430715,1.182125092,0.596018553,0.43245253,0.078257985,0.06431,2.714593887
good,A,7.339,0.38227,1.02912,0.81231,0.55211,0.29927,0.064491123,2.70749
good,A,7.404,0.39047,1.0961,0.8276,0.5737,0.31329,0.064641319,2.70485
good,A,7.561,0.39394,1.40223,0.94784,0.62877,0.14145,0.065600708,2.70201
good,A,7.509,0.39499,1.14524,0.86303,0.58557,0.41203,0.066035107,2.69463
